ID,Label,inSubset,Parent,animal name,model organism,pathogen_name,model for pathogen,disease name,model for disease,Definition,term editor,seeAlso
ID,A rdfs:label,A http://www.geneontology.org/formats/oboInOwl#inSubset,C % SPLIT=|,,C 'model organism' some % SPLIT=|,,C 'animal model for pathogen' value % SPLIT=|,,C 'animal model for disease' value % SPLIT=|,A definition,A term editor SPLIT=|,A rdfs:seeAlso SPLIT=|
OLAS:0000110,vaccine animal model,vaccine animal model,laboratory animal model,,,,,,,,Oliver He|Jie Zheng|Leo Yeh,
OLAS:0000111,Borrelia burgdorferi vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Borrelia burgdorferi,NCBITaxon:139,,,Vaccine animal model that uses mouse for research of vaccine against Borrelia burgdorferi.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=135#Vaccine_Information
OLAS:0000112,Treponema pallidum vaccine guinea pig animal model,vaccine animal model,vaccine animal model,guinea pig,NCBITaxon:10141,Treponema pallidum,NCBITaxon:160,,,Vaccine animal model that uses guinea pig for research of vaccine against Treponema pallidum.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=141#Vaccine_Information
OLAS:0000113,Treponema pallidum vaccine rabbit animal model,vaccine animal model,vaccine animal model,rabbit,NCBITaxon:9986,Treponema pallidum,NCBITaxon:160,,,Vaccine animal model that uses rabbit for research of vaccine against Treponema pallidum.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=141#Vaccine_Information
OLAS:0000114,Leptospira vaccine hamster animal model,vaccine animal model,vaccine animal model,hamster,NCBITaxon:10036,Leptospira,NCBITaxon:171,,,Vaccine animal model that uses hamster for research of vaccine against Leptospira.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=195#Vaccine_Information
OLAS:0000115,Campylobacter jejuni vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Campylobacter jejuni,NCBITaxon:197,,,Vaccine animal model that uses mouse for research of vaccine against Campylobacter jejuni.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=24#Vaccine_Information
OLAS:0000116,Campylobacter jejuni vaccine chicken animal model,vaccine animal model,vaccine animal model,chicken,NCBITaxon:9031,Campylobacter jejuni,NCBITaxon:197,,,Vaccine animal model that uses chicken for research of vaccine against Campylobacter jejuni.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=24#Vaccine_Information
OLAS:0000117,Campylobacter jejuni vaccine ferret animal model,vaccine animal model,vaccine animal model,ferret,NCBITaxon:9669,Campylobacter jejuni,NCBITaxon:197,,,Vaccine animal model that uses ferret for research of vaccine against Campylobacter jejuni.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=24#Vaccine_Information
OLAS:0000118,Helicobacter pylori vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Helicobacter pylori,NCBITaxon:210,,,Vaccine animal model that uses mouse for research of vaccine against Helicobacter pylori.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=134#Vaccine_Information
OLAS:0000119,Brucella vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Brucella,NCBITaxon:234,,,Vaccine animal model that uses mouse for research of vaccine against Brucella.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=8#Vaccine_Information
