ID,Label,Parent,Equivalent Class,has characteristic,Definition,term editor,has cross-reference
ID,A rdfs:label,C %,EC %,C 'has characteristic' some % SPLIT=|,A definition,A term editor SPLIT=|,A 'has cross-reference'
OLAS:0000464,coisogenic,quality,,,,Oliver He,
OLAS:0000465,congenic,quality,,,,Oliver He,
OLAS:0000466,conplastic,quality,,,,Oliver He,
OLAS:0000467,consomic,quality,,,,Oliver He,
OLAS:0000468,inbred,quality,,,,Oliver He,
OLAS:0000469,recombinant congenic,quality,,,,Oliver He,
OLAS:0000470,recombinant inbred,quality,,,,Oliver He,
OLAS:0000456,laboratory mouse,Mus musculus,('Mus musculus') and ('has role' some 'laboratory animal role'),,Mouse that is used in scientific research.,Oliver He|Jie Zheng,
OLAS:0000457,coisogenic mouse strain,laboratory mouse,('laboratory mouse') and ('has characteristic' some 'coisogenic'),,,Oliver He,
OLAS:0000458,congenic mouse strain,laboratory mouse,('laboratory mouse') and ('has characteristic' some 'congenic'),,,Oliver He,
OLAS:0000459,conplastic mouse strain,laboratory mouse,('laboratory mouse') and ('has characteristic' some 'conplastic'),,,Oliver He,
OLAS:0000460,consomic mouse strain,laboratory mouse,('laboratory mouse') and ('has characteristic' some 'consomic'),,,Oliver He,
OLAS:0000461,inbred mouse strain,laboratory mouse,('laboratory mouse') and ('has characteristic' some 'inbred'),,,Oliver He,
OLAS:0000462,recombinant congenic mouse strain,laboratory mouse,('laboratory mouse') and ('has characteristic' some 'recombinant congenic'),,,Oliver He,
OLAS:0000463,recombinant inbred mouse strain,laboratory mouse,('laboratory mouse') and ('has characteristic' some 'recombinant inbred'),,,Oliver He,
OLAS:2160170,101,laboratory mouse,,inbred,,Oliver He|Jie Zheng|Leo Yeh,MGI:2160170
OLAS:7571118,101;C3HCat2<ns>/Hmgu,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:7571118
OLAS:7571117,101;C3H-Cat2<nz>/Hmgu,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:7571117
OLAS:7571114,101;C3H-Cat3<vl>/Hmgu,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:7571114
OLAS:7571111,101;C3H-Crygb<Nop>/Ieg,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:7571111
OLAS:2159854,101/H,laboratory mouse,,inbred,,Oliver He|Jie Zheng|Leo Yeh,MGI:2159854
OLAS:4821385,101/H-Tbob/H,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:4821385
OLAS:5578612,(101/H x C3H/HeH)F1,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:5578612
OLAS:2162990,101/HY,laboratory mouse,,inbred,,Oliver He|Jie Zheng|Leo Yeh,MGI:2162990
OLAS:3722923,101/HY-Foxn1<nu-Y>,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:3722923
OLAS:2669490,101/N,laboratory mouse,,inbred,,Oliver He|Jie Zheng|Leo Yeh,MGI:2669490
OLAS:2160098,101/Orr,laboratory mouse,,inbred,,Oliver He|Jie Zheng|Leo Yeh,MGI:2160098
OLAS:2448768,101/Rl,laboratory mouse,,inbred,,Oliver He|Jie Zheng|Leo Yeh,MGI:2448768
OLAS:2669354,101/RlEp,laboratory mouse,,inbred,,Oliver He|Jie Zheng|Leo Yeh,MGI:2669354
OLAS:5762835,101/Rl-Wf,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:5762835
OLAS:2161609,102,laboratory mouse,,inbred,,Oliver He|Jie Zheng|Leo Yeh,MGI:2161609
OLAS:2160648,102/El,laboratory mouse,,inbred,,Oliver He|Jie Zheng|Leo Yeh,MGI:2160648
OLAS:2160798,102/H,laboratory mouse,,inbred,,Oliver He|Jie Zheng|Leo Yeh,MGI:2160798
OLAS:2447489,102/HeEl,laboratory mouse,,inbred,,Oliver He|Jie Zheng|Leo Yeh,MGI:2447489
OLAS:2669491,1194/Ly,laboratory mouse,,inbred,,Oliver He|Jie Zheng|Leo Yeh,MGI:2669491
OLAS:2160041,129,laboratory mouse,,inbred,,Oliver He|Jie Zheng|Leo Yeh,MGI:2160041
OLAS:6353013,129.129P2-Aldh2<tm1Kaw>/Kei,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:6353013
OLAS:5615454,129.129P2(B6)-Arfgef3<tm1Hong>,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:5615454
OLAS:5505694,129.129P2(B6)-Rtel1<tm2.1Pml>,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:5505694
OLAS:6143637,129.129P2(Cg)-Vamp8<tm1.1Hong>/Mmmh,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:6143637
OLAS:7853684,129.129P2-Map2k1<tm1Bacc>/Biat,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:7853684
OLAS:7570606,129.129P2-Pik3cb<tm2.1Bvan>/Cnbc,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:7570606
OLAS:7853681,129.129P2-Raf1<tm2Bacc>/Biat,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:7853681
OLAS:3819924,129.129P2-Ret<tm1Giro>,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:3819924
OLAS:5506547,129.129S2-Itsn1<Gt(pT1ATGBetageo)1Ruiz>,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:5506547
OLAS:3606190,129.129S6-Hsf1<tm1Ijb>,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:3606190
OLAS:7853771,129.129S-Mfsd14a<tm1Coll>/H,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:7853771
OLAS:5490030,129-Acaa1b<tm1Vnf>/Orl,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:5490030
OLAS:3609408,129-Ache<tm1Loc>/J,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:3609408
OLAS:5424781,129-Acta1<tm1Hrd>/J,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:5424781
OLAS:6331814,129-Actn3<tm1Knno>/Apb,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:6331814
OLAS:6257837,129-Add1<tm1Llp>/Llp,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:6257837
OLAS:5550557,129-Ago2<Gt(XE344)Byg>/Mmucd,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:5550557
OLAS:6144739,129-Ahr<tm1Yfk>/Rbrc,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:6144739
OLAS:2164593,129-Alox5<tm1Fun>/J,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:2164593
OLAS:4358196,129-Alpl<tm1(cre)Nagy>,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:4358196
OLAS:6331849,129-Alpl<tm1(cre)Nagy>/AnuApb,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:6331849
OLAS:3799479,129-Alpl<tm1(cre)Nagy>/J,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:3799479
OLAS:2164629,129-Alpl<tm1Sor>/J,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:2164629
OLAS:2162263,129/AoBoyFib,laboratory mouse,,inbred,,Oliver He|Jie Zheng|Leo Yeh,MGI:2162263
OLAS:2164646,129-Asgr2<tm1Her>/J,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:2164646
OLAS:5490046,129-Atl1<tm1Jfnk>/Mmnc,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:5490046
OLAS:6331935,129-Atm<tm1Fwa>/AnuApb,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:6331935
OLAS:5463811,129-Atm<tm2.1Fwa>/J,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:5463811
OLAS:3054560,129-Atp6v0c<tm1Hka>,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:3054560
OLAS:4941883,129.B6-Adamts13<s>,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:4941883
OLAS:5320429,129(B6)-Apoe<tm1Bres> Plg<tm1Jld>/CljH[cc],laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:5320429
OLAS:5447559,129(B6)-Arl6<tm2Vcs>/J,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:5447559
OLAS:3691869,129(B6)-Ccni<tm1Jro>/J,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:3691869
OLAS:3789581,129.B6-Cys1<cpk>,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:3789581
OLAS:5696626,129;B6-Dbx1<tm1(cre/ERT2)Jcor>/J,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:5696626
OLAS:6771522,129;B6-Ddc<tm1.1Rhrs>/J,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:6771522
